ID,Môn học,Cấp học,Độ khó,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Đáp án đúng,Giải thích (Đáp án gốc)
92,Hóa học,THPT,Trung bình,Chất xúc tác có vai trò gì trong phản ứng hóa học?,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.","Chất xúc tác làm thay đổi tốc độ phản ứng, thường bằng cách cung cấp con đường phản ứng có năng lượng hoạt hóa thấp hơn, và không bị tiêu hao sau phản ứng.",Nước có công thức hóa học là H₂O.,"Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",B,"Chất xúc tác làm thay đổi tốc độ phản ứng, thường bằng cách cung cấp con đường phản ứng có năng lượng hoạt hóa thấp hơn, và không bị tiêu hao sau phản ứng."
93,Giáo dục kinh tế & pháp luật,THPT,Dễ,Em hãy giải thích: Cung và cầu là gì?,"Lạm phát là tình trạng mức giá chung của hàng hóa và dịch vụ tăng lên một cách kéo dài, làm giảm sức mua của đồng tiền.","Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.","Lạm phát cao làm giảm sức mua, gây khó khăn cho việc lập kế hoạch chi tiêu và đầu tư, đồng thời có thể làm tăng bất ổn kinh tế nếu kéo dài.",Cầu là lượng hàng hóa hoặc dịch vụ người mua có khả năng và sẵn sàng mua ở các mức giá khác nhau; cung là lượng hàng hóa hoặc dịch vụ người bán có khả năng và sẵn sàng cung ứng.,D,Cầu là lượng hàng hóa hoặc dịch vụ người mua có khả năng và sẵn sàng mua ở các mức giá khác nhau; cung là lượng hàng hóa hoặc dịch vụ người bán có khả năng và sẵn sàng cung ứng.
94,Toán,THCS,Trung bình,Em hãy giải thích: Giải phương trình 2x + 5 = 13.?,7 nhân 8 bằng 56.,Chu vi là 6 × 4 = 24 cm.,"Theo định lý Pythagore, cạnh huyền bằng √(6² + 8²) = 10 cm.",x = 4.,D,x = 4.
95,Ngữ văn,THPT,Trung bình,Luận điểm trong bài văn nghị luận là gì?,Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.,"Sự kết hợp giúp văn bản vừa có diễn biến và thông tin, vừa tạo hình ảnh sinh động và bộc lộ cảm xúc, làm tăng sức thuyết phục và hấp dẫn.",Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.,Luận điểm là ý kiến hoặc quan điểm chính mà người viết đưa ra để làm rõ vấn đề nghị luận.,D,Luận điểm là ý kiến hoặc quan điểm chính mà người viết đưa ra để làm rõ vấn đề nghị luận.
96,Tiếng Việt,Tiểu học,Dễ,Danh từ là gì?,"Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.","'Chăm chỉ' là từ chỉ đặc điểm, tính chất.",Chủ ngữ là 'Những chú chim'.,"Danh từ là từ chỉ người, sự vật, hiện tượng, khái niệm hoặc đơn vị.",D,"Danh từ là từ chỉ người, sự vật, hiện tượng, khái niệm hoặc đơn vị."
97,Hóa học,THCS,Khó,Em hãy giải thích: Phản ứng hóa học là gì?,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,pH của dung dịch trung tính ở 25°C xấp xỉ bằng 7.,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.","Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",A,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.
98,Tiếng Anh,THCS,Dễ,Hãy cho biết Thì hiện tại đơn thường được dùng trong trường hợp nào?,Từ thích hợp là 'am'.,"Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra.",They are not playing football.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.",B,"Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra."
99,Toán,THPT,Dễ,Đạo hàm của hàm số f(x)=x² là gì?,f'(x)=2x.,Có 16 học sinh nữ và 16 học sinh nam.,Hai nghiệm là x = 2 và x = 3.,x = 4.,A,f'(x)=2x.
100,Sinh học,THCS,Dễ,Đơn vị cấu tạo cơ bản của cơ thể sống là gì?,"Đột biến gen là sự biến đổi trong trình tự nucleotide của gen, có thể tạo ra alen mới và có những tác động khác nhau đến sinh vật.",DNA là phân tử mang và lưu trữ thông tin di truyền ở hầu hết sinh vật.,Tế bào là đơn vị cấu tạo và chức năng cơ bản của cơ thể sống.,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",C,Tế bào là đơn vị cấu tạo và chức năng cơ bản của cơ thể sống.
101,Ngữ văn,THCS,Trung bình,Em hãy giải thích: Hoán dụ là gì?,Luận điểm là ý kiến hoặc quan điểm chính mà người viết đưa ra để làm rõ vấn đề nghị luận.,Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.,Nghị luận xã hội là kiểu bài dùng lập luận và bằng chứng để bàn luận về một vấn đề thuộc đời sống xã hội.,"Ẩn dụ là biện pháp tu từ gọi tên sự vật, hiện tượng này bằng tên của sự vật, hiện tượng khác dựa trên nét tương đồng.",B,Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.
102,Giáo dục kinh tế & pháp luật,THPT,Trung bình,Lạm phát là gì?,DNA là phân tử mang và lưu trữ thông tin di truyền ở hầu hết sinh vật.,"Lạm phát cao làm giảm sức mua, gây khó khăn cho việc lập kế hoạch chi tiêu và đầu tư, đồng thời có thể làm tăng bất ổn kinh tế nếu kéo dài.","Lạm phát là tình trạng mức giá chung của hàng hóa và dịch vụ tăng lên một cách kéo dài, làm giảm sức mua của đồng tiền.",Cầu là lượng hàng hóa hoặc dịch vụ người mua có khả năng và sẵn sàng mua ở các mức giá khác nhau; cung là lượng hàng hóa hoặc dịch vụ người bán có khả năng và sẵn sàng cung ứng.,C,"Lạm phát là tình trạng mức giá chung của hàng hóa và dịch vụ tăng lên một cách kéo dài, làm giảm sức mua của đồng tiền."
103,Hóa học,THCS,Khó,Phản ứng hóa học là gì?,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,Nước có công thức hóa học là H₂O.,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.",pH của dung dịch trung tính ở 25°C xấp xỉ bằng 7.,A,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.
104,Tin học,THCS,Dễ,Thuật toán là gì?,Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.,"Mật khẩu mạnh nên đủ dài, khó đoán và kết hợp nhiều loại ký tự; không nên dùng thông tin cá nhân dễ đoán.","Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.",A,Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.
105,Tiếng Việt,Tiểu học,Khó,"Trong câu 'Những chú chim đang hót trên cành', chủ ngữ là gì?",Chủ ngữ là 'Những chú chim'.,"'Chăm chỉ' là từ chỉ đặc điểm, tính chất.","Danh từ là từ chỉ người, sự vật, hiện tượng, khái niệm hoặc đơn vị.","Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",A,Chủ ngữ là 'Những chú chim'.
106,Địa lý,THCS,Khó,Đô thị hóa có thể tạo ra những tác động nào?,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.",Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.,"Đô thị hóa thúc đẩy phát triển kinh tế và dịch vụ nhưng cũng có thể gây áp lực lên giao thông, nhà ở, môi trường và hạ tầng.",D,"Đô thị hóa thúc đẩy phát triển kinh tế và dịch vụ nhưng cũng có thể gây áp lực lên giao thông, nhà ở, môi trường và hạ tầng."
107,Địa lý,THPT,Dễ,GDP là gì?,Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.,Việt Nam nằm ở khu vực Đông Nam Á.,B,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.
108,Tin học,THCS,Trung bình,Hãy cho biết Biến trong chương trình dùng để làm gì?,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.",Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.,Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.,"Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn.",C,Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.
109,Toán,THPT,Dễ,Hãy cho biết Đạo hàm của hàm số f(x)=x² là gì?,53 lớn hơn 35.,f'(x)=2x.,x = 4.,Giá trị tích phân là [x²] từ 0 đến 1 = 1.,B,f'(x)=2x.
110,Địa lý,THPT,Dễ,Em hãy giải thích: GDP là gì?,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.",Thủ đô của Việt Nam là Hà Nội.,Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,D,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.
111,Toán,THPT,Trung bình,Hãy cho biết Giải phương trình x² - 5x + 6 = 0.?,x = 4.,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.","Theo định lý Pythagore, cạnh huyền bằng √(6² + 8²) = 10 cm.",Hai nghiệm là x = 2 và x = 3.,D,Hai nghiệm là x = 2 và x = 3.
112,Vật lý,THPT,Dễ,Em hãy giải thích: Định luật II Newton có biểu thức như thế nào?,Động năng được tính bằng Wđ = 1/2 mv².,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,Vận tốc trung bình là 120/2 = 60 km/h.,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc.",D,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc."
113,Địa lý,THPT,Dễ,Hãy cho biết GDP là gì?,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.,Thủ đô của Việt Nam là Hà Nội.,"Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn.",A,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.
114,Tiếng Anh,Tiểu học,Dễ,Từ 'book' nghĩa là gì?,"Thì hiện tại hoàn thành thường dùng để nói về hành động đã xảy ra trong quá khứ nhưng có liên hệ với hiện tại, hoặc kinh nghiệm và hành động kéo dài đến hiện tại.",'Book' nghĩa là 'quyển sách'.,They are not playing football.,She doesn't like apples.,B,'Book' nghĩa là 'quyển sách'.
115,Tiếng Anh,THCS,Dễ,Em hãy giải thích: Thì hiện tại đơn thường được dùng trong trường hợp nào?,She doesn't like apples.,Từ thích hợp là 'am'.,"Cấu trúc cơ bản là chủ ngữ mới + be + past participle (V3), với thì của động từ be phù hợp.","Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra.",D,"Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra."
116,Khoa học,Tiểu học,Khó,Vì sao cần rửa tay trước khi ăn?,Vì cơ thể cần nhiều nhóm chất dinh dưỡng khác nhau để tăng trưởng và hoạt động.,Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.,"Con người cần không khí, nước, thức ăn và các điều kiện sống phù hợp.","Rửa tay giúp loại bỏ nhiều vi sinh vật và chất bẩn, từ đó giảm nguy cơ đưa mầm bệnh vào cơ thể.",D,"Rửa tay giúp loại bỏ nhiều vi sinh vật và chất bẩn, từ đó giảm nguy cơ đưa mầm bệnh vào cơ thể."
117,Vật lý,THPT,Trung bình,Công thức tính động năng của vật là gì?,Vận tốc trung bình là 120/2 = 60 km/h.,Động năng là 1/2 × 2 × 3² = 9 J.,Động năng được tính bằng Wđ = 1/2 mv².,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,C,Động năng được tính bằng Wđ = 1/2 mv².
118,Lịch sử,THCS,Dễ,Hãy cho biết Chiến thắng Điện Biên Phủ diễn ra năm nào?,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh.","Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.",Chiến tranh thế giới thứ hai kết thúc vào năm 1945.,Chiến thắng Điện Biên Phủ diễn ra năm 1954.,D,Chiến thắng Điện Biên Phủ diễn ra năm 1954.
119,Toán,Tiểu học,Trung bình,Hình vuông có cạnh 6 cm. Chu vi hình vuông là bao nhiêu?,Hai nghiệm là x = 2 và x = 3.,Chu vi là 6 × 4 = 24 cm.,Có 16 học sinh nữ và 16 học sinh nam.,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.",B,Chu vi là 6 × 4 = 24 cm.
120,Địa lý,Tiểu học,Trung bình,Việt Nam nằm ở khu vực nào của châu Á?,"Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn.",GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.,Việt Nam nằm ở khu vực Đông Nam Á.,D,Việt Nam nằm ở khu vực Đông Nam Á.
121,Lịch sử,THCS,Dễ,Chiến thắng Điện Biên Phủ diễn ra năm nào?,Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh.",Chiến tranh thế giới thứ hai kết thúc vào năm 1945.,Chiến thắng Điện Biên Phủ diễn ra năm 1954.,D,Chiến thắng Điện Biên Phủ diễn ra năm 1954.
122,Địa lý,THPT,Khó,Vì sao phát triển kinh tế cần gắn với bảo vệ môi trường?,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.",Việt Nam nằm ở khu vực Đông Nam Á.,Thủ đô của Việt Nam là Hà Nội.,"Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn.",D,"Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn."
123,Tin học,Tiểu học,Dễ,Hãy cho biết Chuột máy tính dùng để làm gì?,Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.","Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn.","Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.",C,"Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn."
124,Tiếng Việt,Tiểu học,Trung bình,Từ 'chăm chỉ' thuộc loại từ gì?,"Danh từ là từ chỉ người, sự vật, hiện tượng, khái niệm hoặc đơn vị.","'Chăm chỉ' là từ chỉ đặc điểm, tính chất.",Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,Chủ ngữ là 'Những chú chim'.,B,"'Chăm chỉ' là từ chỉ đặc điểm, tính chất."
125,Khoa học,Tiểu học,Trung bình,Em hãy giải thích: Vì sao chúng ta cần ăn nhiều loại thực phẩm khác nhau?,Vì cơ thể cần nhiều nhóm chất dinh dưỡng khác nhau để tăng trưởng và hoạt động.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.","Con người cần không khí, nước, thức ăn và các điều kiện sống phù hợp.","Rửa tay giúp loại bỏ nhiều vi sinh vật và chất bẩn, từ đó giảm nguy cơ đưa mầm bệnh vào cơ thể.",A,Vì cơ thể cần nhiều nhóm chất dinh dưỡng khác nhau để tăng trưởng và hoạt động.
126,Tin học,THPT,Trung bình,Em hãy giải thích: Khóa chính trong cơ sở dữ liệu quan hệ có chức năng gì?,"Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn.",Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.,Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,"Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.",B,Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.
127,Toán,Tiểu học,Trung bình,"Một cửa hàng có 48 quyển vở, bán 19 quyển. Còn lại bao nhiêu quyển?","Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.",Còn lại 29 quyển vở.,Chu vi là 6 × 4 = 24 cm.,7 nhân 8 bằng 56.,B,Còn lại 29 quyển vở.
128,Khoa học,Tiểu học,Khó,Em hãy giải thích: Vì sao cần rửa tay trước khi ăn?,"Theo định lý Pythagore, cạnh huyền bằng √(6² + 8²) = 10 cm.",Vì cơ thể cần nhiều nhóm chất dinh dưỡng khác nhau để tăng trưởng và hoạt động.,"Rửa tay giúp loại bỏ nhiều vi sinh vật và chất bẩn, từ đó giảm nguy cơ đưa mầm bệnh vào cơ thể.","Con người cần không khí, nước, thức ăn và các điều kiện sống phù hợp.",C,"Rửa tay giúp loại bỏ nhiều vi sinh vật và chất bẩn, từ đó giảm nguy cơ đưa mầm bệnh vào cơ thể."
129,Hóa học,THPT,Khó,Cân bằng hóa học là gì?,"Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.","Chất xúc tác làm thay đổi tốc độ phản ứng, thường bằng cách cung cấp con đường phản ứng có năng lượng hoạt hóa thấp hơn, và không bị tiêu hao sau phản ứng.",Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.",D,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định."
130,Ngữ văn,THPT,Khó,"Tác dụng của việc kết hợp tự sự, miêu tả và biểu cảm trong văn bản là gì?",Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.,"Sự kết hợp giúp văn bản vừa có diễn biến và thông tin, vừa tạo hình ảnh sinh động và bộc lộ cảm xúc, làm tăng sức thuyết phục và hấp dẫn.",Nghị luận xã hội là kiểu bài dùng lập luận và bằng chứng để bàn luận về một vấn đề thuộc đời sống xã hội.,"Ẩn dụ là biện pháp tu từ gọi tên sự vật, hiện tượng này bằng tên của sự vật, hiện tượng khác dựa trên nét tương đồng.",B,"Sự kết hợp giúp văn bản vừa có diễn biến và thông tin, vừa tạo hình ảnh sinh động và bộc lộ cảm xúc, làm tăng sức thuyết phục và hấp dẫn."
131,Vật lý,THPT,Trung bình,Hãy cho biết Công thức tính động năng của vật là gì?,Động năng được tính bằng Wđ = 1/2 mv².,Động năng là 1/2 × 2 × 3² = 9 J.,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,"Đơn vị của lực là niutơn, ký hiệu N.",A,Động năng được tính bằng Wđ = 1/2 mv².
132,Toán,THPT,Trung bình,Giải phương trình x² - 5x + 6 = 0.,Hai nghiệm là x = 2 và x = 3.,Chu vi là 6 × 4 = 24 cm.,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.",x = 4.,A,Hai nghiệm là x = 2 và x = 3.
133,Sinh học,THPT,Trung bình,Em hãy giải thích: Gen là gì?,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,Tế bào là đơn vị cấu tạo và chức năng cơ bản của cơ thể sống.,A,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.
134,Vật lý,THPT,Dễ,Định luật II Newton có biểu thức như thế nào?,Vận tốc trung bình là 120/2 = 60 km/h.,Động năng được tính bằng Wđ = 1/2 mv².,Động năng là 1/2 × 2 × 3² = 9 J.,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc.",D,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc."
135,Tin học,THCS,Khó,Tại sao cần kiểm tra dữ liệu đầu vào của chương trình?,"Mật khẩu mạnh nên đủ dài, khó đoán và kết hợp nhiều loại ký tự; không nên dùng thông tin cá nhân dễ đoán.","Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.",Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,"Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn.",D,"Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn."
136,Sinh học,THCS,Trung bình,Hãy cho biết Quang hợp là gì?,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,Tế bào là đơn vị cấu tạo và chức năng cơ bản của cơ thể sống.,Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",D,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen."
137,Toán,THCS,Trung bình,Giải phương trình 2x + 5 = 13.,Còn lại 29 quyển vở.,53 lớn hơn 35.,Giá trị tích phân là [x²] từ 0 đến 1 = 1.,x = 4.,D,x = 4.
138,Tiếng Anh,THPT,Khó,Phân biệt 'few' và 'a few'.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.",'Book' nghĩa là 'quyển sách'.,They are not playing football.,Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.,A,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định."
139,Địa lý,THCS,Dễ,Em hãy giải thích: Khí hậu Việt Nam mang tính chất gì nổi bật?,"Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn.","Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.",Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.,Việt Nam nằm ở khu vực Đông Nam Á.,C,Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.
140,Lịch sử,THCS,Trung bình,Hãy cho biết Cách mạng tháng Tám năm 1945 có ý nghĩa gì đối với Việt Nam?,Chiến tranh thế giới thứ hai kết thúc vào năm 1945.,Cách mạng tháng Tám đã giành chính quyền trên cả nước và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa.,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia.",Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập.,B,Cách mạng tháng Tám đã giành chính quyền trên cả nước và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa.
